"tam_yol","goreli_yol","dosya_adi","boyut_byte","boyut_okunabilir","son_degisim","uzanti","kategori","gerekli_mi"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\SUPABASE_AUTH_COMPLETE.md","SUPABASE_AUTH_COMPLETE.md","SUPABASE_AUTH_COMPLETE.md","1647","1,61 KB","2025-11-22T04:43:23",".md","tekrar_edici_rapor","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\SUPABASE_NEXT_STEPS.md","SUPABASE_NEXT_STEPS.md","SUPABASE_NEXT_STEPS.md","2666","2,60 KB","2025-11-22T04:12:17",".md","tekrar_edici_rapor","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\SUPABASE_SETUP.md","SUPABASE_SETUP.md","SUPABASE_SETUP.md","5206","5,08 KB","2025-11-22T03:56:41",".md","tekrar_edici_rapor","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\test_clustering.py","test_clustering.py","test_clustering.py","1463","1,43 KB","2026-03-19T04:27:15",".py","tek_kullanimli_script","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\test_users.csv","test_users.csv","test_users.csv","3244","3,17 KB","2026-03-05T11:59:56",".csv","data_dosyasi","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\test_users.xlsx","test_users.xlsx","test_users.xlsx","12913","12,61 KB","2026-03-05T12:19:39",".xlsx","data_dosyasi","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\tsconfig.tsbuildinfo","tsconfig.tsbuildinfo","tsconfig.tsbuildinfo","283247","276,61 KB","2026-03-28T14:45:23",".tsbuildinfo","ts_buildinfo","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\ts_audit_fix.log","ts_audit_fix.log","ts_audit_fix.log","0","0 B","2026-03-10T13:25:17",".log","log_dosyasi","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\ts_errors.log","ts_errors.log","ts_errors.log","135","135 B","2026-03-10T11:56:51",".log","log_dosyasi","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\ts_final.log","ts_final.log","ts_final.log","0","0 B","2026-03-10T12:01:19",".log","log_dosyasi","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\ts_session3_final.log","ts_session3_final.log","ts_session3_final.log","0","0 B","2026-03-10T12:37:38",".log","log_dosyasi","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\ts_session4.log","ts_session4.log","ts_session4.log","0","0 B","2026-03-10T13:56:39",".log","log_dosyasi","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\ts_session5.log","ts_session5.log","ts_session5.log","708","708 B","2026-03-10T14:04:45",".log","log_dosyasi","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\ts_session5_final.log","ts_session5_final.log","ts_session5_final.log","0","0 B","2026-03-10T14:08:27",".log","log_dosyasi","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\ts_session5_fix.log","ts_session5_fix.log","ts_session5_fix.log","708","708 B","2026-03-10T14:07:24",".log","log_dosyasi","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\UniRide_Kod_Inceleme_Raporu.pdf","UniRide_Kod_Inceleme_Raporu.pdf","UniRide_Kod_Inceleme_Raporu.pdf","79873","78,00 KB","2026-03-17T14:00:38",".pdf","akademik_taslak","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\Veri.xlsx","Veri.xlsx","Veri.xlsx","50015","48,84 KB","2026-03-05T12:47:52",".xlsx","data_dosyasi","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\WINDOWS_SETUP.md","WINDOWS_SETUP.md","WINDOWS_SETUP.md","5820","5,68 KB","2025-11-22T03:50:07",".md","tekrar_edici_rapor","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\_scan_inventory.ps1","_scan_inventory.ps1","_scan_inventory.ps1","9052","8,84 KB","2026-03-28T22:09:27",".ps1","text_dump","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\.0ZAI\base64.txt",".0ZAI\base64.txt","base64.txt","30226","29,52 KB","2026-03-26T13:57:16",".txt","data_dosyasi","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\.0ZAI\Base64decode.ps1",".0ZAI\Base64decode.ps1","Base64decode.ps1","178","178 B","2026-03-26T14:03:24",".ps1","text_dump","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\.0ZAI\Base64decodePART.ps1",".0ZAI\Base64decodePART.ps1","Base64decodePART.ps1","304","304 B","2026-03-26T14:05:56",".ps1","text_dump","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\.0ZAI\ZAi upload.txt",".0ZAI\ZAi upload.txt","ZAi upload.txt","3420","3,34 KB","2026-03-26T14:27:28",".txt","text_dump","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\.claude\skills\markitdown\LICENSE.txt",".claude\skills\markitdown\LICENSE.txt","LICENSE.txt","1075","1,05 KB","2026-03-24T10:14:42",".txt","text_dump","False"
